"","date","amount"
"1",1012015,3960
"2",1032015,3895
"3",1052015,2580
"4",1112015,2585
"5",1152015,2730
"6",1172015,3080
"7",1222015,5280
"8",1242015,4275
"9",1252015,2530
"10",1292015,1760
"11",1312015,5175
"12",2052015,4240
"13",2092015,2665
"14",2122015,3710
"15",2142015,5500
"16",2152015,3910
"17",2192015,2860
"18",2212015,5520
"19",2222015,3780
"20",2262015,8625
"21",2282015,5130
"22",3012015,3080
"23",3022015,2600
"24",3052015,5470
"25",3072015,5605
"26",3082015,2420
"27",3092015,4275
"28",3122015,7825
"29",3142015,6120
"30",3152015,3960
"31",3162015,7840
"32",3192015,8460
"33",3212015,5865
"34",3222015,3510
"35",3232015,6585
"36",3262015,2585
"37",3282015,4500
"38",3302015,3740
"39",4022015,3720
"40",4042015,4320
"41",4062015,3600
"42",4092015,5370
"43",4112015,4305
"44",4122015,2640
"45",4182015,4505
"46",4192015,1960
"47",4202015,3600
"48",4232015,7050
"49",4252015,6885
"50",4262015,2300
"51",4272015,9900
"52",4302015,11000
