"","STATE","TRANSACTION_AMT"
"8","CA",112095441
"50","TX",95071460
"40","NY",87856050
"13","FL",81672146
"11","DC",44334512
"19","IL",34575792
"52","VA",22075097
"44","PA",20008218
"24","MA",19570476
"25","MD",17686439
"37","NJ",16080169
"14","GA",16043337
"10","CT",15942596
"41","OH",15521583
"56","WI",13532261
"27","MI",12590657
"9","CO",10882447
"45","PR",10803461
"29","MO",10171221
"23","LA",9557084
"55","WA",9267296
"33","NC",9084306
"5","AR",8379735
"7","AZ",8375432
"39","NV",8356566
"49","TN",7757225
"35","NE",7708925
"28","MN",7659393
"42","OK",7492220
"20","IN",5943003
"47","SC",4121445
"43","OR",3838188
"31","MS",3629497
"21","KS",3623899
"17","IA",3572710
"22","KY",3564327
"3","AL",3308717
"38","NM",2516165
"51","UT",2289476
"26","ME",2059400
"57","WV",1997367
"16","HI",1967182
"36","NH",1909131
"46","RI",1636546
"34","ND",1379554
"58","WY",1229380
"48","SD",1172470
"18","ID",1021699
"32","MT",992372
"54","VT",967556
"12","DE",859571
"2","AK",655804
"53","VI",190914
"59","ZZ",128415
"15","GU",45443
"30","MP",6750
"4","AP",994
"6","AS",250
